"","Parameter","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"1","(Intercept)",11.0496229980684,10.2152459233898,11.884000072747,0.422755229829609,1
"2","Collection_RiverMile_m",-2.32841732494408e-05,-2.98374984143675e-05,-1.67308480845141e-05,3.32049396234288e-06,0.268350060176702
"3","RunTimingGroupLate",-0.800103016946632,-1.17676532472838,-0.423440709164885,0.190835222472533,0.265749744235296
"4","RunTimingGroupMiddle",-0.170510211678107,-0.491392090430668,0.150371667074453,0.162571282321811,0.265749744235296
"5","SexM",-0.0521433029357416,-0.316118108953789,0.211831503082305,0.133737705893072,0.00259616288966419
"6","Year2020",0.126901534598142,-0.290306661922182,0.544109731118465,0.211378164213668,0.00126045356335751
"7","Year2021",-0.644343966609651,-1.20490792874967,-0.0837800044696354,0.284011834854408,0.00126045356335751
"8","RunTimingGroupLate:SexM",0.438088904314557,-0.235146223980446,1.11132403260956,0.341076772972018,0.000163191690820014
"9","RunTimingGroupMiddle:SexM",0.172306579933338,-0.497595644837028,0.842208804703704,0.33938824554522,0.000163191690820014
"10","SexM:Year2020",0.116922780205363,-0.555353073403294,0.78919863381402,0.340590781821733,1.28100245261212e-09
"11","SexM:Year2021",-0.475015677070629,-1.14449634443501,0.194464990293754,0.339174674634238,1.28100245261212e-09
